entry_id,title,candidate_path,final_path,replacement_decision,audit_status,old_size_bytes,new_size_bytes,status
J-56,GDPR,assets/ponchi/experiments/batches/lightweight-regen-002/J-56_base_1254x627.png,assets/ponchi/final/J-56.webp,replace_candidate_visual_review,image_pass_color_review,18810,100012,promoted
A-7,図のタイプ,assets/ponchi/experiments/batches/lightweight-regen-002/A-7_base_1254x627.png,assets/ponchi/final/A-7.webp,replace_candidate_visual_review,image_pass_color_review,18936,83086,promoted
J-41,DX,assets/ponchi/experiments/batches/lightweight-regen-002/J-41_base_1254x627.png,assets/ponchi/final/J-41.webp,replace_candidate_visual_review,image_pass_color_review,18958,112538,promoted
J-32,ノイマン型,assets/ponchi/experiments/batches/lightweight-regen-002/J-32_base_1254x627.png,assets/ponchi/final/J-32.webp,needs_color_fix_before_replace,image_pass_color_fail,19342,82372,promoted
I-24,Context7 MCP,assets/ponchi/experiments/batches/lightweight-regen-002/I-24_base_1254x627.png,assets/ponchi/final/I-24.webp,replace_candidate_visual_review,image_pass_color_review,19410,88186,promoted
I-80,自作 MCP のテンプレ,assets/ponchi/experiments/batches/lightweight-regen-002/I-80_base_1254x627.png,assets/ponchi/final/I-80.webp,replace_candidate_visual_review,image_pass_color_review,19414,96284,promoted
J-2,強い AI／弱い AI,assets/ponchi/experiments/batches/lightweight-regen-002/J-2_base_1254x627.png,assets/ponchi/final/J-2.webp,replace_candidate_visual_review,image_pass_color_review,19534,98110,promoted
J-72,H100,assets/ponchi/experiments/batches/lightweight-regen-002/J-72_base_1254x627.png,assets/ponchi/final/J-72.webp,needs_color_fix_before_replace,image_pass_color_fail,19604,127442,promoted
J-1,AGI,assets/ponchi/experiments/batches/lightweight-regen-002/J-1_base_1254x627.png,assets/ponchi/final/J-1.webp,replace_candidate_visual_review,image_pass_color_review,20306,95920,promoted
A-1,まえがき,assets/ponchi/experiments/batches/lightweight-regen-002/A-1_base_1254x627.png,assets/ponchi/final/A-1.webp,replace_candidate_visual_review,image_pass_color_review,20530,111924,promoted
I-10,Filesystem MCP,assets/ponchi/experiments/batches/lightweight-regen-002/I-10_base_1254x627.png,assets/ponchi/final/I-10.webp,needs_color_fix_before_replace,image_pass_color_fail,20456,92064,promoted
J-16,Fine-tuning,assets/ponchi/experiments/batches/lightweight-regen-002/J-16_base_1254x627.png,assets/ponchi/final/J-16.webp,replace_candidate_visual_review,image_pass_color_review,20430,114898,promoted
J-77,GPU (概念),assets/ponchi/experiments/batches/lightweight-regen-003/J-77_base_1254x627.png,assets/ponchi/final/J-77.webp,replace_candidate_visual_review,image_pass_color_review,20804,101760,promoted
A-8,色・記号の凡例,assets/ponchi/experiments/batches/lightweight-regen-003/A-8_base_1254x627.png,assets/ponchi/final/A-8.webp,replace_candidate_visual_review,image_pass_color_review,20854,93506,promoted
J-55,個人情報保護法,assets/ponchi/experiments/batches/lightweight-regen-003/J-55_base_1254x627.png,assets/ponchi/final/J-55.webp,needs_color_fix_before_replace,image_pass_color_fail,21428,96988,promoted
J-79,SSD,assets/ponchi/experiments/batches/lightweight-regen-003/J-79_base_1254x627.png,assets/ponchi/final/J-79.webp,replace_candidate_visual_review,image_pass_color_review,21380,107630,promoted
J-31,第 5 世代コンピュータ,assets/ponchi/experiments/batches/lightweight-regen-003/J-31_base_1254x627.png,assets/ponchi/final/J-31.webp,needs_color_fix_before_replace,image_pass_color_fail,21772,120738,promoted
I-30,Notion MCP,assets/ponchi/experiments/batches/lightweight-regen-003/I-30_base_1254x627.png,assets/ponchi/final/I-30.webp,replace_candidate_visual_review,image_pass_color_review,21990,94774,promoted
J-51,Hallucination,assets/ponchi/experiments/batches/lightweight-regen-003/J-51_base_1254x627.png,assets/ponchi/final/J-51.webp,replace_candidate_visual_review,image_pass_color_review,22218,83902,promoted
