entry_id,batch_id,candidate_webp,candidate_png,final_webp,final_png,size,old_final_webp_bytes,new_final_webp_bytes,old_final_png_bytes,new_final_png_bytes
F-100,ponchi-batch-010,assets/ponchi/final_candidates/ponchi-batch-010/F-100_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-010/F-100_candidate.png,assets/ponchi/final/F-100.webp,assets/ponchi/final/F-100.png,1254x627,47812,101762,702340,93289
F-101,ponchi-batch-010,assets/ponchi/final_candidates/ponchi-batch-010/F-101_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-010/F-101_candidate.png,assets/ponchi/final/F-101.webp,assets/ponchi/final/F-101.png,1254x627,39932,82278,681972,76350
F-102,ponchi-batch-010,assets/ponchi/final_candidates/ponchi-batch-010/F-102_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-010/F-102_candidate.png,assets/ponchi/final/F-102.webp,assets/ponchi/final/F-102.png,1254x627,37766,84448,684044,79532
F-103,ponchi-batch-010,assets/ponchi/final_candidates/ponchi-batch-010/F-103_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-010/F-103_candidate.png,assets/ponchi/final/F-103.webp,assets/ponchi/final/F-103.png,1254x627,45764,68518,716481,66295
F-104,ponchi-batch-010,assets/ponchi/final_candidates/ponchi-batch-010/F-104_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-010/F-104_candidate.png,assets/ponchi/final/F-104.webp,assets/ponchi/final/F-104.png,1254x627,37486,79720,683534,75340
F-110,ponchi-batch-010,assets/ponchi/final_candidates/ponchi-batch-010/F-110_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-010/F-110_candidate.png,assets/ponchi/final/F-110.webp,assets/ponchi/final/F-110.png,1254x627,44718,62116,708186,77054
F-111,ponchi-batch-010,assets/ponchi/final_candidates/ponchi-batch-010/F-111_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-010/F-111_candidate.png,assets/ponchi/final/F-111.webp,assets/ponchi/final/F-111.png,1254x627,50172,88474,725439,88334
F-120,ponchi-batch-010,assets/ponchi/final_candidates/ponchi-batch-010/F-120_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-010/F-120_candidate.png,assets/ponchi/final/F-120.webp,assets/ponchi/final/F-120.png,1254x627,48354,85848,723808,102954
F-121,ponchi-batch-010,assets/ponchi/final_candidates/ponchi-batch-010/F-121_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-010/F-121_candidate.png,assets/ponchi/final/F-121.webp,assets/ponchi/final/F-121.png,1254x627,44846,71684,712796,83784
F-122,ponchi-batch-010,assets/ponchi/final_candidates/ponchi-batch-010/F-122_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-010/F-122_candidate.png,assets/ponchi/final/F-122.webp,assets/ponchi/final/F-122.png,1254x627,41012,83492,687387,100222
F-80,ponchi-batch-010,assets/ponchi/final_candidates/ponchi-batch-010/F-80_candidate.webp,assets/ponchi/final_candidates/ponchi-batch-010/F-80_candidate.png,assets/ponchi/final/F-80.webp,assets/ponchi/final/F-80.png,1254x627,40328,79328,695600,92876
